metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
love-is-a-physical-force,They gravitated to each other immediately.,['gravitated'],"- They: NO (pronoun, basic meaning is the same)
- gravitated: YES (verb, more basic meaning refers to the physical force of attraction between objects with mass)
- to: NO (preposition, basic meaning is the same)
- each: NO (determiner, basic meaning is the same)
- other: NO (adjective, basic meaning is the same)
- immediately: NO (adverb, basic meaning is the same)",1,1,0,,
activities-are-containers,I put a lot of energy into washing the windows.,['put a lot of energy into'],"- I: NO (pronoun, basic meaning is the same)
- put: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- energy: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning clothes)
- the: NO (article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)",0,0,1,0.0,0.0
"an-argument-is-a-journey, understanding-is-seeing",Notice that X does not follow from Y without added assumptions.,['Notice'],"- Notice: NO (verb, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- X: NO (noun, basic meaning is the same)
- does: NO (verb, basic meaning is the same)
- not: NO (adverb, basic meaning is the same)
- follow: YES (verb, more basic meaning refers to moving behind someone or something)
- from: NO (preposition, basic meaning is the same)
- Y: NO (noun, basic meaning is the same)
- without: NO (preposition, basic meaning is the same)
- added: YES (adjective, more basic meaning refers to something being increased)
- assumptions: NO (noun, basic meaning is the same)",0,0,1,0.0,0.0
inflation-is-an-entity,Buying land is the best way of dealing with inflation.,['dealing with inflation'],"- Buying: NO (verb, basic meaning is the same)
- land: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- way: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- dealing: YES (verb, more basic meaning refers to handling or managing)
- with: NO (preposition, basic meaning is the same)
- inflation: NO (noun, basic meaning is the same)",1,0,0,,
conscious-is-up;-unconscious-is-down,He dropped off to sleep.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- off: YES (adverb, more basic meaning refers to separation or removal)
- to: NO (preposition, basic meaning is the same)
- sleep: NO (noun, basic meaning is the same)",1,1,1,1.0,1.0
race-as-object,Are you going to the race?,['going to'],"- Are: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- going: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- race: NO (noun, basic meaning is the same)",0,0,0,,
an-argument-is-a-building,"With the groundwork you've got, you can construct a pretty strong argument.","['groundwork', 'construct', 'strong']","- With: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- groundwork: YES (noun, more basic meaning refers to the solid base or foundation for something)
- you've: NO (contraction, basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- can: NO (modal verb, basic meaning is the same)
- construct: YES (verb, more basic meaning refers to building or putting together)
- a: NO (indefinite article, basic meaning is the same)
- pretty: NO (adjective, basic meaning is the same)
- strong: NO (adjective, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)",0,0,0,,
the-place-for-the-event,Let's not let Thailand become another Vietnam.,['Vietnam'],"- Let's: NO (contraction of ""let us,"" basic meaning is the same)
- not: NO (adverb, basic meaning is the same)
- let: NO (verb, basic meaning is the same)
- Thailand: NO (proper noun, basic meaning is the same)
- become: NO (verb, basic meaning is the same)
- another: NO (determiner, basic meaning is the same)
- Vietnam: NO (proper noun, basic meaning is the same)",0,0,0,,
understanding-is-seeing,Now I've got the whole picture.,['whole picture'],"- Now: NO (adverb, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- got: YES (verb, more basic meaning refers to obtaining or receiving)
- the: NO (definite article, basic meaning is the same)
- whole: NO (adjective, basic meaning is the same)
- picture: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
more-is-up;-less-is-down,He is underage.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- underage: NO (adjective, basic meaning is the same)",0,0,0,,
high-status-is-up;-low-status-is-down,He's at the bottom of the social hierarchy.,['bottom'],"- He's: NO (pronoun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- bottom: YES (noun, more basic meaning refers to the lowest part of something)
- of: NO (preposition, basic meaning is the same)
- social: NO (adjective, basic meaning is the same)
- hierarchy: YES (noun, more basic meaning refers to a system of ranking or organizing things)",1,1,1,0.0,1.0
ideas-are-plants,She has a fertile imagination.,['fertile'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- fertile: YES (adjective, more basic meaning refers to the ability to produce crops)
- imagination: NO (noun, basic meaning is the same)",1,1,0,,
birth metaphors,He hatched a clever scheme.,['hatched'],"- He: NO (pronoun, basic meaning is the same)
- hatched: YES (verb, more basic meaning refers to a bird coming out of an egg)
- a: NO (article, basic meaning is the same)
- clever: NO (adjective, basic meaning is the same)
- scheme: NO (noun, basic meaning is the same)",1,1,0,,
life-is-a-container,I've had a full life.,['full'],"- I've: NO (contraction, basic meaning is the same)
- had: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- full: YES (adjective, more basic meaning refers to being filled to capacity)
- life: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,I get a lot of satisfaction out of washing windows.,['get a lot of satisfaction out of'],"- I: NO (pronoun, basic meaning is the same)
- get: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- satisfaction: NO (noun, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning with water)
- windows: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
physical-and-emotional-states-are-entities-within-a-person,My cold has gone from my head to my chest.,['gone from my head to my chest'],"- My: NO (possessive pronoun, basic meaning is the same)
- cold: YES (noun, more basic meaning refers to low temperature)
- has: NO (verb, basic meaning is the same)
- gone: YES (verb, more basic meaning refers to movement from one place to another)
- from: NO (preposition, basic meaning is the same)
- head: YES (noun, more basic meaning refers to the body part)
- to: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- chest: YES (noun, more basic meaning refers to the part of the body)",1,1,1,1.0,1.0
ideas-are-cutting-instruments,She cut his argument to ribbons.,"['cut', 'to ribbons']","- She: NO (pronoun, basic meaning is the same)
- cut: YES (verb, more basic meaning refers to physically dividing or severing something)
- his: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- ribbons: YES (noun, more basic meaning refers to thin strips of material)",1,1,0,,
controller-for-controlled,Nixon bombed Hanoi.,['Nixon'],"- Nixon: NO (proper noun, basic meaning is the same)
- bombed: YES (verb, more basic meaning refers to attacking with bombs)
- Hanoi: NO (proper noun, basic meaning is the same)",0,0,1,0.0,1.0
argument-is-war,His criticisms were right on target.,['right on target'],"- His: NO (possessive pronoun, basic meaning is the same)
- criticisms: NO (noun, basic meaning is the same)
- were: NO (verb, basic meaning is the same)
- right: YES (adjective, more basic meaning refers to direction or correctness)
- on: NO (preposition, basic meaning is the same)
- target: YES (noun, more basic meaning refers to a goal or object to aim at)",1,0,0,,
happy-is-up;-sad-is-down,I fell into a depression.,['fell'],"- I: NO
- fell: NO
- into: NO
- a: NO
- depression: YES (noun, more basic meaning refers to a sunken place or hollow)",0,0,1,1.0,1.0
ideas-are-fashions,What are the new trends in English criticism?,['trends'],"- What: NO (pronoun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- trends: YES (noun, more basic meaning refers to a general direction in which something is developing or changing)
- in: NO (preposition, basic meaning is the same)
- English: NO (adjective, basic meaning is the same)
- criticism: NO (noun, basic meaning is the same)",1,0,0,,
life-is-a-gambling-game,That's the luck of the draw.,['the luck of the draw'],"- That's: NO (pronoun, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- luck: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- the draw: YES (phrase, more basic meaning refers to selecting a card or ticket randomly)",1,1,0,,
seeing-is-touching;-eyes-are-limbs,I can't take my eyes off her.,"['take', 'off']","- I: NO (pronoun, basic meaning is the same)
- can't: NO (verb, basic meaning is the same)
- take: YES (verb, more basic meaning refers to physically grabbing or holding something)
- my: NO (possessive pronoun, basic meaning is the same)
- eyes: YES (noun, more basic meaning refers to the organs of sight)
- off: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)",0,0,1,0.0,1.0
object-used-for-user,The buses are on strike.,['buses'],"- The: NO (definite article, basic meaning is the same)
- buses: NO (noun, basic meaning is the same)
- are: NO (verb ""to be,"" basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- strike: YES (noun, more basic meaning refers to a physical attack)",0,0,1,1.0,1.0
states-as-containers,We're out of trouble now.,['out of'],"- We're: NO (contraction of ""we are,"" basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- trouble: NO (noun, basic meaning is the same)",0,0,0,,
physical-and-emotional-states-are-entities-within-a-person,His pains went away.,['went away'],"- His: NO (possessive pronoun, basic meaning is the same)
- pains: YES (noun, more basic meaning refers to physical discomfort)
- went: NO (verb, basic meaning is the same)
- away: NO (adverb, basic meaning is the same)",0,0,1,0.0,1.0
significant-is-big,That was only a little white lie.,['little'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- only: NO (adverb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- little: YES (adjective, more basic meaning refers to size or quantity)
- white: YES (adjective, more basic meaning refers to color)
- lie: NO (noun, basic meaning is the same)",1,1,1,1.0,1.0
wealth-is-a-hidden-object,He's searching for wealth.,['searching for'],"- He's: NO (pronoun, basic meaning is the same)
- searching: YES (verb, more basic meaning refers to looking for something physically)
- for: NO (preposition, basic meaning is the same)
- wealth: NO (noun, basic meaning is the same)",1,1,0,,
ideas-are-people,The theory of relativity gave birth to an enormous number of ideas in physics.,['gave birth to'],"- The: NO (definite article, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- relativity: NO (noun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- birth: YES (noun, more basic meaning refers to the act of giving birth to a baby)
- to: NO (preposition, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- enormous: YES (adjective, more basic meaning refers to something very large in size)
- number: YES (noun, more basic meaning refers to a numerical value)
- ideas: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- physics: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
controller-for-controlled,Ozawa gave a terrible concert last night.,['Ozawa'],"- Ozawa: NO (proper noun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- terrible: YES (adjective, more basic meaning refers to something causing terror or extreme fear)
- concert: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
ideas-are-people,Whose brainchild was that?,['brainchild'],"- Whose: NO (pronoun, basic meaning is the same)
- brainchild: YES (noun, more basic meaning refers to a child conceived in the mind)",1,0,0,,
ideas-are-cutting-instruments,That was a cutting remark.,['cutting'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- cutting: YES (adjective, more basic meaning refers to physically severing or dividing)
- remark: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,How did Jerry get out of washing the windows?,['get out of'],"- How: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- Jerry: NO (proper noun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or acquiring something)
- out of: NO (phrasal verb, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning something with water)
- the: NO (definite article, basic meaning is the same)
- windows: YES (noun, more basic meaning refers to the glass openings in a building)",0,0,1,0.0,1.0
physical-and-emotional-states-are-entities-within-a-person,Hot tea and honey will get rid of your cough.,['get rid of'],"- Hot: NO (adjective, basic meaning is the same)
- tea: NO (noun, basic meaning is the same)
- and: NO (conjunction, basic meaning is the same)
- honey: NO (noun, basic meaning is the same)
- will: NO (modal verb, basic meaning is the same)
- get rid of: YES (phrasal verb, more basic meaning refers to removing something physically)
- your: NO (possessive pronoun, basic meaning is the same)
- cough: NO (noun, basic meaning is the same)",1,1,0,,
physical-and-emotional-states-are-entities-within-a-person,He could barely contain his joy.,['contain'],"- He: NO (pronoun, basic meaning is the same)
- could: NO (verb, basic meaning is the same)
- barely: NO (adverb, basic meaning is the same)
- contain: YES (verb, more basic meaning refers to holding or enclosing something)
- his: NO (possessive pronoun, basic meaning is the same)
- joy: NO (noun, basic meaning is the same)",1,1,0,,
theories-(and-arguments)-are-buildings,Here are some more facts to shore up the theory.,['shore up'],"- Here: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- more: NO (adverb, basic meaning is the same)
- facts: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- shore up: YES (phrasal verb, more basic meaning refers to supporting a physical structure)
- the: NO (definite article, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
an-argument-is-a-journey,"When we get to the next point, we shall see that philosophy is dead.",['When we get to the next point'],"- When: NO (conjunction, basic meaning is the same)
- we: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- next: YES (adjective, more basic meaning refers to being immediately following in order)
- point: YES (noun, more basic meaning refers to a sharp or tapered end)
- shall: NO (modal verb, basic meaning is the same)
- see: YES (verb, more basic meaning refers to perceiving with the eyes)
- that: NO (conjunction, basic meaning is the same)
- philosophy: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- dead: YES (adjective, more basic meaning refers to no longer being alive)",1,0,1,1.0,1.0
ideas-are-food,He devoured the book.,['devoured'],"- He: NO (pronoun, basic meaning is the same)
- devoured: YES (verb, more basic meaning refers to eating food)
- the: NO (definite article, basic meaning is the same)
- book: NO (noun, basic meaning is the same)",1,1,0,,
high-status-is-up;-low-status-is-down,He's at the peak of his career.,['peak'],"- He's: NO (pronoun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the pointed top of a mountain)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- career: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,"In washing the window, I splashed water all over the floor.",['In'],"- In: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning clothes or other items)
- the: NO (definite article, basic meaning is the same)
- window: NO (noun, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- splashed: YES (verb, more basic meaning refers to scattering or spattering a liquid)
- water: NO (noun, basic meaning is the same)
- all: NO (adverb, basic meaning is the same)
- over: NO (preposition, basic meaning is the same)
- floor: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
"an-argument-is-a-container, understanding-is-seeing","Since your argument isn't very clear, I can't see what you're getting at.","['clear', 'see']","- Since: NO (conjunction, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- isn't: NO (contraction of ""is not,"" basic meaning is the same)
- very: NO (adverb, basic meaning is the same)
- clear: YES (adjective, more basic meaning refers to transparency or visibility)
- I: NO (pronoun, basic meaning is the same)
- can't: NO (contraction of ""cannot,"" basic meaning is the same)
- see: YES (verb, more basic meaning refers to visual perception)
- what: NO (pronoun, basic meaning is the same)
- you're: NO (contraction of ""you are,"" basic meaning is the same)
- getting: YES (verb, more basic meaning refers to obtaining or receiving)
- at: NO (preposition, basic meaning is the same)",1,1,1,1.0,1.0
emergence,He dropped from exhaustion.,['from'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to letting something fall)
- from: NO (preposition, basic meaning is the same)
- exhaustion: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
love-is-a-patient,It's a tired affair.,['tired'],"- It's: NO (pronoun, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- tired: YES (adjective, more basic meaning refers to feeling exhausted)
- affair: NO (noun, basic meaning is the same)",1,1,0,,
theories-(and-arguments)-are-buildings,The theory will stand or fall on the strength of that argument.,"['stand', 'fall', 'strength']","- The: NO (article, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)
- will: NO (verb, basic meaning is the same)
- stand: YES (verb, more basic meaning refers to physically standing upright)
- or: NO (conjunction, basic meaning is the same)
- fall: YES (verb, more basic meaning refers to physically dropping or descending)
- on: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- strength: YES (noun, more basic meaning refers to physical power)
- of: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)",1,1,0,,
having-control-or-force-is-up;-being-subject-to-control-or-force-is-down,He's at the height of his power.,['height'],"- He's: NO (pronoun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- height: YES (noun, more basic meaning refers to physical distance from the ground)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning is the same)",1,1,0,,
conduit,Try to pack more thought into the wrong words.,"['pack', 'into']","- Try: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- pack: YES (verb, more basic meaning refers to putting things into a container)
- more: NO (adverb, basic meaning is the same)
- thought: YES (noun, more basic meaning refers to the process of thinking)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- wrong: YES (adjective, more basic meaning refers to something that is not correct)
- words: YES (noun, more basic meaning refers to individual units of language)",0,0,1,0.0,1.0
the-eyes-are-containers-for-the-emotions,She couldn't get the fear out of her eyes.,"['get', 'out']","- She: NO (pronoun, basic meaning is the same)
- couldn't: NO (verb, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or acquiring)
- the: NO (article, basic meaning is the same)
- fear: NO (noun, basic meaning is the same)
- out: YES (adverb, more basic meaning refers to outside or exterior)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- eyes: NO (noun, basic meaning is the same)",1,1,0,,
states-as-containers,He entered a state of euphoria.,['entered'],"- He: NO (pronoun, basic meaning is the same)
- entered: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a physical condition or situation)
- of: NO (preposition, basic meaning is the same)
- euphoria: YES (noun, more basic meaning refers to a feeling of intense happiness or excitement)",0,0,1,0.0,1.0
emergence,His mother nearly went crazy from loneliness.,['from'],"- His: NO (possessive pronoun, basic meaning is the same)
- mother: NO (noun, basic meaning is the same)
- nearly: NO (adverb, basic meaning is the same)
- went: YES (verb, more basic meaning refers to physical movement)
- crazy: YES (adjective, more basic meaning refers to being mentally ill or insane)
- from: NO (preposition, basic meaning is the same)
- loneliness: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
emotional-effect-is-physical-contact,His mother's death hit him hard.,"['hit', 'hard']","- His: NO (possessive pronoun, basic meaning is the same)
- mother's: NO (possessive noun, basic meaning is the same)
- death: NO (noun, basic meaning is the same)
- hit: YES (verb, more basic meaning refers to physically striking something)
- him: NO (pronoun, basic meaning is the same)
- hard: YES (adjective, more basic meaning refers to something firm or solid)",1,1,0,,
personification,Inflation has outwitted the best economic minds in the country.,['has outwitted'],"- Inflation: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- outwitted: YES (verb, more basic meaning refers to defeating someone in a clever way)
- the: NO (article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- economic: NO (adjective, basic meaning is the same)
- minds: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- country: NO (noun, basic meaning is the same)",1,0,0,,
ideas-are-commodities,I wouldn't give a plugged nickel for that idea.,['give a plugged nickel'],"- I: NO
- wouldn't: NO
- give: NO
- a: NO
- plugged: YES (adjective, more basic meaning refers to something being fitted with a plug or stopper)
- nickel: YES (noun, more basic meaning refers to a five-cent coin)
- for: NO
- that: NO
- idea: NO",0,0,1,0.0,1.0
personification,The Michelson-Morley experiment gave birth to a new physical theory.,['Michelson-Morley experiment gave birth to'],"- The: NO (definite article, basic meaning is the same)
- Michelson-Morley: NO (proper noun, basic meaning is the same)
- experiment: NO (noun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- birth: YES (noun, more basic meaning refers to the act of giving birth to a baby)
- to: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- physical: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
inflation-is-an-entity,Inflation makes me sick.,['Inflation makes me sick'],"- Inflation: NO (noun, basic meaning is the same)
- makes: NO (verb, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- sick: NO (adjective, basic meaning is the same)",0,0,0,,
love-is-madness,I'm crazy about her.,['crazy'],"- I'm: NO (contraction of ""I am"", basic meaning is the same)
- crazy: YES (adjective, more basic meaning refers to being mentally ill)
- about: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)",1,1,0,,
life-is-a-container,Get the most out of life.,['Get the most out of'],"- Get: NO (verb, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- most: NO (adjective, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- life: NO (noun, basic meaning is the same)",0,0,0,,
virtue-is-up;-depravity-is-down,She has high standards.,['high'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical height)
- standards: NO (noun, basic meaning is the same)",1,1,0,,
love-is-a-patient,"They have a strong, healthy marriage.","['strong, healthy']","- They: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- strong: YES (adjective, more basic meaning refers to physical strength)
- healthy: YES (adjective, more basic meaning refers to physical health)
- marriage: NO (noun, basic meaning is the same)",1,1,0,,
