metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
love-is-a-physical-force,They gravitated to each other immediately.,['gravitated'],"- They: NO (pronoun, basic meaning is the same)
- gravitated: YES (verb, more basic meaning refers to the physical movement due to gravity)
- to: NO (preposition, basic meaning is the same)
- each: NO (pronoun, basic meaning is the same)
- other: NO (pronoun, basic meaning is the same)
- immediately: NO (adverb, basic meaning is the same)",1,1,0,,
activities-are-containers,I put a lot of energy into washing the windows.,['put a lot of energy into'],"- I: NO (pronoun, basic meaning is the same)
- put: NO (verb, basic meaning is to place or move something)
- a: NO (indefinite article, basic meaning is the same)
- lot: NO (noun, basic meaning refers to a large amount or number)
- of: NO (preposition, basic meaning is the same)
- energy: YES (noun, more basic meaning refers to physical power or force)
- into: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the act of cleaning)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning refers to the openings in a wall or door fitted with glass)",0,0,1,1.0,1.0
"an-argument-is-a-journey, understanding-is-seeing",Notice that X does not follow from Y without added assumptions.,['Notice'],"- Notice: NO (verb, basic meaning is to observe or perceive something)
- that: NO (conjunction, basic meaning is the same)
- X: NO (variable, basic meaning as a placeholder or unknown is the same)
- does: NO (verb, basic meaning is to perform an action)
- not: NO (adverb, basic meaning is the same)
- follow: YES (verb, more basic meaning refers to physically going after or behind someone)
- from: NO (preposition, basic meaning is the same)
- Y: NO (variable, basic meaning as a placeholder or unknown is the same)
- without: NO (preposition, basic meaning is the same)
- added: NO (adjective, basic meaning is the same)
- assumptions: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
inflation-is-an-entity,Buying land is the best way of dealing with inflation.,['dealing with inflation'],"""Buying land is the best way of dealing with inflation.""

- Buying: NO (verb, basic meaning is acquiring something in exchange for payment, which is the same here)
- land: NO (noun, basic meaning refers to the solid part of the earth's surface, which is the same here)
- is: NO (verb, basic meaning as a form of the verb ""to be"" is the same here)
- the: NO (definite article, basic meaning is the same)
- best: NO (adjective, basic meaning as the superlative form of ""good"" is the same here)
- way: YES (noun, more basic meaning refers to a road, path, or direction)
- of: NO (preposition, basic meaning is the same)
- dealing: YES (verb, more basic meaning refers to distributing cards in a game)
- with: NO (preposition, basic meaning is the same)
- inflation: NO (noun, basic meaning refers to the act of inflating or state of being inflated, which is the same here)",1,0,1,1.0,1.0
conscious-is-up;-unconscious-is-down,He dropped off to sleep.,['dropped'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to physically letting something fall)
- off: NO (preposition, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- sleep: NO (noun, basic meaning is the same)",1,1,0,,
race-as-object,Are you going to the race?,['going to'],"- Are: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- going: YES (verb, more basic meaning refers to physically moving from one place to another)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: YES (noun, more basic meaning refers to a competition of speed)",1,1,1,0.0,1.0
an-argument-is-a-building,"With the groundwork you've got, you can construct a pretty strong argument.","['groundwork', 'construct', 'strong']","- With: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- groundwork: YES (noun, more basic meaning refers to the physical preparation of ground for building)
- you've: NO (contraction of ""you have"", basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- can: NO (modal verb, basic meaning is the same)
- construct: YES (verb, more basic meaning refers to building structures)
- a: NO (indefinite article, basic meaning is the same)
- pretty: NO (adverb/adjective, basic meaning is the same)
- strong: NO (adjective, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)",0,0,0,,
the-place-for-the-event,Let's not let Thailand become another Vietnam.,['Vietnam'],"""Let's not let Thailand become another Vietnam.""

- Let's: NO (contraction of ""let us"", basic meaning is the same)
- not: NO (adverb, basic meaning is the same)
- let: NO (verb, basic meaning is to allow or permit, which is the same here)
- Thailand: NO (proper noun, basic meaning is the same)
- become: NO (verb, basic meaning is to begin to be, which is the same here)
- another: NO (determiner, basic meaning is the same)
- Vietnam: YES (proper noun, basic meaning is the name of a country, but here it is used metaphorically to refer to a situation similar to the historical context of the Vietnam War)",1,1,0,,
understanding-is-seeing,Now I've got the whole picture.,['whole picture'],"- Now: NO (adverb, basic meaning is the same)
- I've: NO (contraction of ""I have"", basic meaning is the same)
- got: NO (verb, basic meaning is to obtain or possess)
- the: NO (definite article, basic meaning is the same)
- whole: NO (adjective, basic meaning is complete or entire)
- picture: YES (noun, more basic meaning refers to a visual representation, such as a painting or photograph)",1,1,0,,
more-is-up;-less-is-down,He is underage.,['under'],"- He: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- underage: YES (adjective, more basic meaning of ""under"" is physically beneath something)",1,1,0,,
high-status-is-up;-low-status-is-down,He's at the bottom of the social hierarchy.,['bottom'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- bottom: YES (noun, more basic meaning refers to the lowest physical part of something)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- social: NO (adjective, basic meaning is the same)
- hierarchy: NO (noun, basic meaning is the same)",1,1,0,,
ideas-are-plants,She has a fertile imagination.,['fertile'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- fertile: YES (adjective, more basic meaning refers to soil or land capable of producing abundant vegetation)
- imagination: NO (noun, basic meaning is the same)",1,1,0,,
birth metaphors,He hatched a clever scheme.,['hatched'],"- He: NO (pronoun, basic meaning is the same)
- hatched: YES (verb, more basic meaning refers to an egg cracking open and a young animal emerging)
- a: NO (indefinite article, basic meaning is the same)
- clever: NO (adjective, basic meaning is the same)
- scheme: NO (noun, basic meaning is the same)",1,1,0,,
life-is-a-container,I've had a full life.,['full'],"- I've: NO (contraction of ""I have"", basic meaning is the same)
- had: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- full: YES (adjective, more basic meaning refers to something being filled up completely, usually physically)
- life: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,I get a lot of satisfaction out of washing windows.,['get a lot of satisfaction out of'],"""I get a lot of satisfaction out of washing windows.""

- I: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to physically obtaining something)
- a: NO (indefinite article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a parcel of land)
- of: NO (preposition, basic meaning is the same)
- satisfaction: NO (noun, basic meaning is the same)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)",0,0,1,1.0,0.0
physical-and-emotional-states-are-entities-within-a-person,My cold has gone from my head to my chest.,['gone from my head to my chest'],"- My: NO (possessive pronoun, basic meaning is the same)
- cold: NO (noun, basic meaning refers to low temperature, but in this context, it refers to a common illness, which is also a basic meaning)
- has: NO (auxiliary verb, basic meaning is the same)
- gone: NO (verb, basic meaning refers to moving from one place to another, which is applicable here)
- from: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- head: NO (noun, basic meaning refers to the upper part of the body containing the brain, eyes, ears, nose, and mouth, which is applicable here)
- to: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- chest: NO (noun, basic meaning refers to the front part of the body between the neck and the abdomen, which is applicable here)",0,0,0,,
ideas-are-cutting-instruments,She cut his argument to ribbons.,"['cut', 'to ribbons']","- She: NO (pronoun, basic meaning is the same)
- cut: YES (verb, more basic meaning refers to slicing or dividing something physically)
- his: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- ribbons: YES (noun, more basic meaning refers to long, narrow strips of fabric or material)",1,1,0,,
controller-for-controlled,Nixon bombed Hanoi.,['Nixon'],"- Nixon: NO (proper noun, basic meaning is the same)
- bombed: YES (verb, more basic meaning refers to exploding something with a bomb)
- Hanoi: NO (proper noun, basic meaning is the same)",0,0,1,0.0,1.0
argument-is-war,His criticisms were right on target.,['right on target'],"- His: NO (possessive pronoun, basic meaning is the same)
- criticisms: NO (noun, basic meaning is the same)
- were: NO (verb, basic meaning is the same)
- right: YES (adjective, more basic meaning refers to correctness or direction)
- on: NO (preposition, basic meaning is the same)
- target: NO (noun, basic meaning is the same)",0,0,0,,
happy-is-up;-sad-is-down,I fell into a depression.,['fell'],"- I: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning refers to physically dropping or coming down)
- into: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- depression: YES (noun, more basic meaning refers to a physical indentation or hollow area)",0,0,1,1.0,1.0
ideas-are-fashions,What are the new trends in English criticism?,['trends'],"""What are the new trends in English criticism?""

- What: NO (pronoun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- trends: YES (noun, more basic meaning refers to a general direction in which something is developing or changing, originally from a physical sense of turning or bending)
- in: NO (preposition, basic meaning is the same)
- English: NO (adjective, basic meaning is the same)
- criticism: YES (noun, more basic meaning refers to the act of criticizing, usually more concrete and specific than the broader and more abstract sense of literary or artistic analysis)",1,1,1,0.0,1.0
life-is-a-gambling-game,That's the luck of the draw.,['the luck of the draw'],"- That's: NO (contraction of ""that is"", basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- luck: NO (noun, basic meaning refers to fortune or chance)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- draw: YES (verb, more basic meaning refers to pulling or sketching)",1,0,0,,
seeing-is-touching;-eyes-are-limbs,I can't take my eyes off her.,"['take', 'off']","- I: NO (pronoun, basic meaning is the same)
- can't: NO (contraction of cannot, basic meaning is the same)
- take: YES (verb, more basic meaning refers to physically grasping or carrying something)
- my: NO (possessive pronoun, basic meaning is the same)
- eyes: NO (noun, basic meaning is the same)
- off: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)",0,0,0,,
object-used-for-user,The buses are on strike.,['buses'],"- The: NO (definite article, basic meaning is the same)
- buses: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- strike: YES (noun, more basic meaning refers to hitting or attacking)",0,0,1,1.0,1.0
states-as-containers,We're out of trouble now.,['out of'],"- We're: NO (contraction of ""we are"", basic meaning is the same)
- out: YES (preposition, more basic meaning refers to moving from the inside to the outside)
- of: NO (preposition, basic meaning is the same)
- trouble: NO (noun, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)",1,1,0,,
physical-and-emotional-states-are-entities-within-a-person,His pains went away.,['went away'],"- His: NO (possessive pronoun, basic meaning is the same)
- pains: NO (noun, basic meaning refers to physical discomfort or suffering, which is concrete and related to bodily action)
- went: NO (verb, basic meaning refers to moving from one place to another, which is concrete and related to bodily action)
- away: NO (adverb, basic meaning refers to moving or being at a distance from a particular place or person, which is concrete)",0,0,0,,
significant-is-big,That was only a little white lie.,['little'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- only: NO (adverb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- little: NO (adjective, basic meaning is the same)
- white: NO (adjective, basic meaning is the same)
- lie: NO (noun, basic meaning is the same)",0,0,0,,
wealth-is-a-hidden-object,He's searching for wealth.,['searching for'],"""He's searching for wealth.""
- He's: NO (contraction of he is, basic meaning is the same)
- searching: NO (verb, basic meaning is to look for something, which is the same here)
- for: NO (preposition, basic meaning is the same)
- wealth: NO (noun, basic meaning is an abundance of valuable possessions or money, which is the same here)",0,0,0,,
ideas-are-people,The theory of relativity gave birth to an enormous number of ideas in physics.,['gave birth to'],"- The: NO (definite article, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- relativity: NO (noun, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to physically handing something to someone)
- birth: YES (noun, more basic meaning refers to the act of being born)
- to: NO (preposition, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- enormous: NO (adjective, basic meaning is the same)
- number: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- physics: NO (noun, basic meaning is the same)",1,1,0,,
controller-for-controlled,Ozawa gave a terrible concert last night.,['Ozawa'],"- Ozawa: NO (proper noun, specific to a person's name, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to physically handing something to someone)
- a: NO (indefinite article, basic meaning is the same)
- terrible: NO (adjective, basic meaning is the same)
- concert: NO (noun, basic meaning is the same)
- last: NO (adjective, basic meaning is the same)
- night: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
ideas-are-people,Whose brainchild was that?,['brainchild'],"- Whose: NO (possessive pronoun, basic meaning is the same)
- brainchild: YES (noun, more basic meanings of ""brain"" and ""child"" are more concrete and related to physical objects or beings)
- was: NO (verb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)",1,1,0,,
ideas-are-cutting-instruments,That was a cutting remark.,['cutting'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- cutting: YES (adjective, more basic meaning refers to slicing or dividing something with a sharp tool)
- remark: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,How did Jerry get out of washing the windows?,['get out of'],"- How: NO (adverb, basic meaning is the same)
- did: NO (auxiliary verb, basic meaning is the same)
- Jerry: NO (proper noun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to physically obtaining or receiving something)
- out: YES (adverb, more basic meaning refers to moving from inside to outside)
- of: NO (preposition, basic meaning is the same)
- washing: YES (gerund, more basic meaning refers to cleaning with water and soap)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
physical-and-emotional-states-are-entities-within-a-person,Hot tea and honey will get rid of your cough.,['get rid of'],"""Hot tea and honey will get rid of your cough.""

- Hot: NO (adjective, basic meaning refers to high temperature, which is the same here)
- tea: NO (noun, basic meaning is the same, referring to the beverage)
- and: NO (conjunction, basic meaning is the same)
- honey: NO (noun, basic meaning is the same, referring to the sweet substance produced by bees)
- will: NO (auxiliary verb, basic meaning is the same, indicating future tense)
- get: YES (verb, more basic meaning refers to physically obtaining something)
- rid: YES (verb, more basic meaning involves removing or throwing something away physically)
- of: NO (preposition, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- cough: NO (noun, basic meaning is the same, referring to the act of expelling air from the lungs with a sudden sharp sound)",1,1,0,,
physical-and-emotional-states-are-entities-within-a-person,He could barely contain his joy.,['contain'],"- He: NO (pronoun, basic meaning is the same)
- could: NO (modal verb, basic meaning is the same)
- barely: NO (adverb, basic meaning is the same)
- contain: YES (verb, more basic meaning refers to physically holding something within a boundary)
- his: NO (possessive pronoun, basic meaning is the same)
- joy: NO (noun, basic meaning is the same)",1,1,0,,
theories-(and-arguments)-are-buildings,Here are some more facts to shore up the theory.,['shore up'],"""Here are some more facts to shore up the theory.""

- Here: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- more: NO (adjective, basic meaning is the same)
- facts: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- shore: YES (verb, more basic meaning refers to the land along the edge of a sea, lake, or other large body of water)
- up: NO (adverb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,0,0,,
an-argument-is-a-journey,"When we get to the next point, we shall see that philosophy is dead.",['When we get to the next point'],"""When we get to the next point, we shall see that philosophy is dead.""

- When: NO (conjunction, basic meaning is the same)
- we: NO (pronoun, basic meaning is the same)
- get: NO (verb, basic meaning is to obtain or receive, which is similar)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- next: NO (adjective, basic meaning is the same)
- point: YES (noun, more basic meaning refers to the sharp tip of an object)
- we: NO (pronoun, basic meaning is the same)
- shall: NO (modal verb, basic meaning is the same)
- see: YES (verb, more basic meaning refers to visual perception)
- that: NO (conjunction, basic meaning is the same)
- philosophy: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- dead: NO (adjective, basic meaning is the same)",0,0,1,1.0,1.0
ideas-are-food,He devoured the book.,['devoured'],"- He: NO (pronoun, basic meaning is the same)
- devoured: YES (verb, more basic meaning refers to eating something greedily)
- the: NO (definite article, basic meaning is the same)
- book: NO (noun, basic meaning is the same)",1,1,0,,
high-status-is-up;-low-status-is-down,He's at the peak of his career.,['peak'],"- He's: NO (contraction of he is, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- peak: YES (noun, more basic meaning refers to the top of a mountain)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- career: NO (noun, basic meaning is the same)",1,1,0,,
activities-are-containers,"In washing the window, I splashed water all over the floor.",['In'],"- In: NO (preposition, basic meaning is the same)
- washing: NO (gerund form of the verb wash, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- window: NO (noun, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- splashed: NO (verb, basic meaning is the same)
- water: NO (noun, basic meaning is the same)
- all: NO (adverb, basic meaning is the same)
- over: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- floor: NO (noun, basic meaning is the same)",0,0,0,,
"an-argument-is-a-container, understanding-is-seeing","Since your argument isn't very clear, I can't see what you're getting at.","['clear', 'see']","- Since: NO (conjunction, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- isn't: NO (contraction of is not, basic meaning is the same)
- very: NO (adverb, basic meaning is the same)
- clear: NO (adjective, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- can't: NO (contraction of cannot, basic meaning is the same)
- see: YES (verb, more basic meaning refers to visual perception)
- what: NO (pronoun, basic meaning is the same)
- you're: NO (contraction of you are, basic meaning is the same)
- getting: YES (verb, more basic meaning refers to physically obtaining something)
- at: NO (preposition, basic meaning is the same)",0,0,1,1.0,1.0
emergence,He dropped from exhaustion.,['from'],"- He: NO (pronoun, basic meaning is the same)
- dropped: YES (verb, more basic meaning refers to physically letting something fall)
- from: NO (preposition, basic meaning is the same)
- exhaustion: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
love-is-a-patient,It's a tired affair.,['tired'],"- It's: NO (contraction of ""it is"", basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- tired: YES (adjective, more basic meaning refers to needing sleep or rest)
- affair: YES (noun, more basic meaning refers to commercial, professional, or public business)",1,1,1,0.0,0.0
theories-(and-arguments)-are-buildings,The theory will stand or fall on the strength of that argument.,"['stand', 'fall', 'strength']","""The theory will stand or fall on the strength of that argument.""

- The: NO (definite article, basic meaning is the same)
- theory: NO (noun, basic meaning refers to a system of ideas)
- will: NO (auxiliary verb, basic meaning is the same)
- stand: YES (verb, more basic meaning refers to physically standing up)
- or: NO (conjunction, basic meaning is the same)
- fall: YES (verb, more basic meaning refers to physically falling down)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- strength: YES (noun, more basic meaning refers to physical power or force)
- of: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning refers to a discussion involving differing points of view)",1,1,0,,
having-control-or-force-is-up;-being-subject-to-control-or-force-is-down,He's at the height of his power.,['height'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- height: YES (noun, more basic meaning refers to physical elevation or stature)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- power: NO (noun, basic meaning refers to ability or capacity, which is similar in this context)",1,1,0,,
conduit,Try to pack more thought into the wrong words.,"['pack', 'into']","- Try: NO (verb, basic meaning is to attempt, which is the same here)
- to: NO (preposition, basic meaning is the same)
- pack: YES (verb, more basic meaning refers to physically putting things into a container)
- more: NO (adjective, basic meaning is the same)
- thought: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- wrong: NO (adjective, basic meaning is the same)
- words: NO (noun, basic meaning is the same)",0,0,0,,
the-eyes-are-containers-for-the-emotions,She couldn't get the fear out of her eyes.,"['get', 'out']","- She: NO (pronoun, basic meaning is the same)
- couldn't: NO (contraction of could not, basic meaning is the same)
- get: NO (verb, basic meaning is to obtain or acquire, which is similar in this context)
- the: NO (definite article, basic meaning is the same)
- fear: NO (noun, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- eyes: NO (noun, basic meaning is the same)",0,0,0,,
states-as-containers,He entered a state of euphoria.,['entered'],"- He: NO (pronoun, basic meaning is the same)
- entered: YES (verb, more basic meaning refers to physically going into a space)
- a: NO (indefinite article, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a condition of matter, like solid, liquid, or gas)
- of: NO (preposition, basic meaning is the same)
- euphoria: NO (noun, basic meaning is the same)",1,1,1,1.0,1.0
emergence,His mother nearly went crazy from loneliness.,['from'],"- His: NO (possessive pronoun, basic meaning is the same)
- mother: NO (noun, basic meaning is the same)
- nearly: NO (adverb, basic meaning is the same)
- went: YES (verb, more basic meaning refers to physically moving from one place to another)
- crazy: YES (adjective, more basic meaning refers to being mentally deranged in a more severe or clinical sense)
- from: NO (preposition, basic meaning is the same)
- loneliness: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
emotional-effect-is-physical-contact,His mother's death hit him hard.,"['hit', 'hard']","- His: NO (possessive pronoun, basic meaning is the same)
- mother's: NO (possessive form of mother, basic meaning is the same)
- death: NO (noun, basic meaning is the same)
- hit: YES (verb, more basic meaning refers to physically striking)
- him: NO (pronoun, basic meaning is the same)
- hard: NO (adjective, basic meaning is the same)",0,0,0,,
